Track_name,Track_artist,Track_album_name,Track_album_release_date,Genre,Playlist_name,Playlist_subgenre,Duration_min,Speechiness,Danceability,Energy,Mode,Instrumentalness,Valence,Key,Tempo,Loudness,Acousticness,Liveness,Track_popularity,Popularity_type
I CAN'T LET GO,"Lil Tecca, Don Toliver",PLAN A,9/20/2024,hip-hop,RapCaviar,modern,2.5,0.152,0.649,0.761,1,0,0.313,8,147.2,-4.2,0.007,0.207,73,high
CANZONE D'ODIO (feat. Lil Baby),"Lazza, Lil Baby",LOCURA,9/19/2024,hip-hop,Trap,trap,2.72,0.05,0.697,0.735,0,0,0.403,10,99.8,-4.2,0.172,0.099,73,high
ALL RED,Playboi Carti,ALL RED,9/13/2024,hip-hop,RapCaviar,modern,2.47,0.055,0.76,0.663,0,0,0.209,9,143.1,-4.8,0.109,0.305,81,high
i am not who i was,Chance Peña,"Ever-Shifting, Continual Blossoming",9/13/2024,folk,Indie Folk,indie,2.42,0.04,0.702,0.22,1,0,0.197,0,129.9,-13.7,0.698,0.089,79,high
The Mountain Is You,Chance Peña,"Ever-Shifting, Continual Blossoming",9/13/2024,folk,Indie Folk,indie,3.27,0.031,0.413,0.452,1,0.0413,0.102,0,109,-10.2,0.588,0.332,69,high
Russian Bandana,Dhanda Nyoliwala,Russian Bandana,9/12/2024,hip-hop,Desi Hip-Hop,desi,3.29,0.368,0.775,0.615,0,0,0.918,1,84.1,-5.7,0.304,0.06,74,high
Castlevania,Matuê,333,9/9/2024,hip-hop,Trap,trap,3.84,0.043,0.616,0.928,0,0,0.23,9,110,-2.3,0.017,0.156,70,high
1993,Matuê,333,9/9/2024,hip-hop,Trap,trap,2.13,0.081,0.753,0.88,1,0,0.582,11,92.1,-3.2,0.455,0.146,73,high
Or What,"NLE Choppa, 41, Kyle Richh",Or What,9/6/2024,hip-hop,RapCaviar,modern,3.32,0.172,0.731,0.586,0,0,0.147,1,125.8,-7.6,0.116,0.099,77,high
NO PIERDO LA VIDA,"Calle 24, Chuyin",NO PIERDO LA VIDA,9/6/2024,latin,Viva Latino,modern,2.81,0.035,0.747,0.824,0,0,0.793,7,125,-4.4,0.184,0.282,77,high
Never Going Home Tonight (feat. Madison Love),"David Guetta, Alesso, Madison Love",Never Going Home Tonight (feat. Madison Love),9/6/2024,electronic,Techno Bunker,techno,2.74,0.034,0.513,0.813,1,0,0.355,5,125.9,-2.7,0.28,0.258,77,high
The Emptiness Machine,Linkin Park,The Emptiness Machine,9/5/2024,pop,Today's Top Hits,mainstream,3.17,0.034,0.466,0.872,1,0,0.806,7,184.1,-3.3,0.016,0.121,89,high
Rey Sin Reina,Julión Álvarez y su Norteño Banda,Atento Aviso ... Rey Sin Reina,9/5/2024,latin,Viva Latino,modern,2.51,0.057,0.529,0.356,1,0,0.659,3,169.7,-6.6,0.29,0.136,85,high
Boyfriend,YEONJUN,Cinderella at 2AM OST Part 4,9/1/2024,korean,K-Drama OSTs,drama,3.38,0.032,0.815,0.557,1,0,0.482,5,114,-7.2,0.109,0.089,69,high
No Face,Drake,No Face,8/31/2024,hip-hop,RapCaviar,modern,2.29,0.065,0.853,0.69,1,0,0.471,10,126,-5.9,0.077,0.084,78,high
It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage",100 GIGS,8/30/2024,hip-hop,RapCaviar,modern,4.63,0.135,0.783,0.723,1,0,0.294,1,139.9,-4.9,0.026,0.159,76,high
Circadian Rhythm,Drake,100 GIGS,8/30/2024,hip-hop,RapCaviar,modern,2.11,0.048,0.694,0.574,0,0,0.286,1,146,-6.1,0.193,0.082,79,high
NISSAN ALTIMA,Doechii,Alligator Bites Never Heal,8/30/2024,hip-hop,RapCaviar,modern,2.11,0.194,0.974,0.711,0,0.00004,0.328,11,117,-5.2,0.099,0.089,72,high
Tailor Swif,A$AP Rocky,Tailor Swif,8/30/2024,hip-hop,RapCaviar,modern,2.59,0.118,0.824,0.527,1,0,0.212,8,77.5,-5.5,0.149,0.368,74,high
My Love (2024),"Alex Wann, Route 94, Jess Glynne",My Love (2024),8/30/2024,electronic,Afro House,afro house,3.08,0.052,0.43,0.872,1,0.879,0.136,1,122,-7.8,0.118,0.119,69,high
Constantly,"Hyce, BoyPee, Brown Joel",Constantly,8/28/2024,afrobeats,African Heat,african,3.23,0.145,0.374,0.705,1,0,0.718,11,198,-8.4,0.172,0.14,68,high
Taste,Sabrina Carpenter,Short n' Sweet,8/23/2024,pop,Today's Top Hits,mainstream,2.62,0.063,0.67,0.91,0,0,0.786,0,113,-4.1,0.094,0.304,81,high
Embrace It,Ndotz,Embrace It,8/23/2024,pop,Today's Top Hits,mainstream,1.74,0.06,0.882,0.645,1,0.00004,0.788,1,114.9,-7.2,0.475,0.057,87,high
SE ME OLVIDA,"Maisak, Feid",SE ME OLVIDA,8/23/2024,latin,Viva Latino,modern,3.76,0.064,0.786,0.707,0,0,0.691,7,82,-4.4,0.04,0.121,84,high
